experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.6229508196721312,0.6655011655011656,0.7634032634032635,0.6616975502391268,0.6101694915254238,0.4864864864864865,0.8181818181818182,0.5128205128205128,18,19,20,4,1,17,0.7586135268211365,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.55,0.6160287081339713,0.6507177033492824,0.491953941447361,0.5846153846153846,0.4418604651162791,0.8636363636363636,0.3684210526315789,19,24,14,3,2,11,0.8511853814125061,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.5833333333333334,0.6423444976076556,0.7224880382775121,0.6206539223456019,0.6031746031746031,0.4634146341463415,0.8636363636363636,0.42105263157894735,19,22,16,3,3,4,0.8827306032180786,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.5333333333333333,0.507177033492823,0.5035885167464115,0.45354638177633005,0.391304347826087,0.375,0.4090909090909091,0.6052631578947368,9,15,23,13,4,5,0.8832871913909912,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.5333333333333333,0.5550239234449761,0.6088516746411483,0.5269689105068712,0.5,0.4117647058823529,0.6363636363636364,0.47368421052631576,14,20,18,8,5,5,0.8281408548355103,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.5081967213114754,0.5361305361305362,0.5979020979020979,0.5223529586788835,0.4827586206896552,0.3888888888888889,0.6363636363636364,0.4358974358974359,14,22,17,8,6,5,0.8149257898330688,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.6166666666666667,0.5825358851674641,0.6052631578947368,0.5355949577646896,0.46511627906976744,0.47619047619047616,0.45454545454545453,0.7105263157894737,10,11,27,12,7,10,0.8148094415664673,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.6833333333333333,0.6830143540669856,0.6949760765550239,0.585928130086041,0.6122448979591837,0.5555555555555556,0.6818181818181818,0.6842105263157895,15,12,26,7,8,25,0.6874346733093262,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.6333333333333333,0.6244019138755981,0.6961722488038277,0.6352299652802168,0.5416666666666666,0.5,0.5909090909090909,0.6578947368421053,13,13,25,9,9,14,0.7071940898895264,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.6666666666666666,0.6889952153110048,0.7081339712918661,0.6074358113636291,0.6296296296296297,0.53125,0.7727272727272727,0.6052631578947368,17,15,23,5,10,10,0.8010323643684387,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.47540983606557374,0.5501165501165501,0.6351981351981352,0.5346131279878596,0.5294117647058824,0.391304347826087,0.8181818181818182,0.28205128205128205,18,28,11,4,11,9,0.7692543864250183,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.65,0.6471291866028708,0.7069377990430622,0.5952705704952069,0.5714285714285714,0.5185185185185185,0.6363636363636364,0.6578947368421053,14,13,25,8,12,13,0.8076755404472351,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.6,0.5598086124401914,0.6387559808612441,0.476425015238179,0.42857142857142855,0.45,0.4090909090909091,0.7105263157894737,9,11,27,13,13,9,0.7239166498184204,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.5166666666666667,0.5035885167464115,0.5251196172248804,0.4303905541205707,0.40816326530612246,0.37037037037037035,0.45454545454545453,0.5526315789473685,10,17,21,12,14,5,0.8650945425033569,97409
genome_cnn_t0_t1_delta,t0_t1_delta_genome,genome_cnn,0.5833333333333334,0.5944976076555024,0.6758373205741627,0.6103667626110981,0.5283018867924528,0.45161290322580644,0.6363636363636364,0.5526315789473685,14,17,21,8,15,4,0.8768616318702698,97409
