fold,selected_model,selected_model_type,selected_inner_selection_metric,best_epoch,best_val_loss,n_parameters,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn
1,chromosome_cnn_narrow,chromosome_cnn,0.29791749391612565,27,0.8084250092506409,27105,0.7894736842105263,0.775,0.8458333333333333,0.5455273892773893,0.6,0.5,0.75,0.8,6,6,24,2
2,chromosome_cnn_narrow,chromosome_cnn,0.4125036277152051,31,0.8454258441925049,27105,0.7368421052631579,0.6958333333333333,0.7958333333333333,0.6000992063492063,0.5,0.4166666666666667,0.625,0.7666666666666667,5,7,23,3
3,chromosome_cnn_narrow,chromosome_cnn,0.4322681229135904,24,0.9411286115646362,27105,0.6578947368421053,0.5842911877394636,0.6666666666666665,0.49394155227488556,0.38095238095238093,0.3333333333333333,0.4444444444444444,0.7241379310344828,4,8,21,5
4,chromosome_cnn_narrow,chromosome_cnn,0.2673145275795843,23,0.6054733991622925,27105,0.7631578947368421,0.6532567049808429,0.7011494252873562,0.5725240138283616,0.47058823529411764,0.5,0.4444444444444444,0.8620689655172413,4,4,25,5
5,chromosome_cnn_narrow,chromosome_cnn,0.25490899034938336,13,0.947980523109436,27105,0.6052631578947368,0.6264367816091954,0.7471264367816093,0.6478750294539768,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.5862068965517241,6,12,17,3
6,chromosome_cnn_narrow,chromosome_cnn,0.2735547328329875,19,0.9617067575454712,27105,0.868421052631579,0.7791666666666667,0.9541666666666667,0.84375,0.6666666666666666,0.7142857142857143,0.625,0.9333333333333333,5,2,28,3
7,chromosome_cnn_wide,chromosome_cnn,0.4557818518543595,22,0.6218390464782715,60225,0.6578947368421053,0.5541666666666667,0.6208333333333333,0.4647637694512694,0.3157894736842105,0.2727272727272727,0.375,0.7333333333333333,3,8,22,5
8,chromosome_cnn_narrow,chromosome_cnn,0.5320351946967912,12,0.9183073043823242,27105,0.5789473684210527,0.5325670498084292,0.5632183908045977,0.3714552930098807,0.3333333333333333,0.26666666666666666,0.4444444444444444,0.6206896551724138,4,11,18,5
9,chromosome_cnn_narrow,chromosome_cnn,0.3221562049074551,11,1.0675830841064453,27105,0.5263157894736842,0.49808429118773945,0.6590038314176245,0.4731131712596243,0.3076923076923077,0.23529411764705882,0.4444444444444444,0.5517241379310345,4,13,16,5
10,chromosome_cnn_narrow,chromosome_cnn,0.4665211626649343,8,1.0556600093841553,27105,0.39473684210526316,0.33524904214559387,0.3639846743295019,0.1981179610264578,0.14814814814814814,0.1111111111111111,0.2222222222222222,0.4482758620689655,2,16,13,7
11,chromosome_cnn_wide,chromosome_cnn,0.4100699098336242,13,1.0490639209747314,60225,0.3684210526315789,0.37083333333333335,0.4125,0.2954560677443742,0.2,0.13636363636363635,0.375,0.36666666666666664,3,19,11,5
12,chromosome_cnn_narrow,chromosome_cnn,0.3272526547580905,18,0.9078567624092102,27105,0.6578947368421053,0.6,0.6958333333333334,0.530777027027027,0.38095238095238093,0.3076923076923077,0.5,0.7,4,9,21,4
13,chromosome_cnn_narrow,chromosome_cnn,0.26336701318416156,16,0.9611824750900269,27105,0.7631578947368421,0.6915708812260537,0.7471264367816093,0.44395191496640773,0.5263157894736842,0.5,0.5555555555555556,0.8275862068965517,5,5,24,4
14,chromosome_cnn_wide,chromosome_cnn,0.42005611706040696,5,1.083278775215149,60225,0.7631578947368421,0.5,0.6283524904214559,0.48792688792688793,0.0,0.0,0.0,1.0,0,0,29,9
15,chromosome_cnn_narrow,chromosome_cnn,0.4769316085918193,14,0.9999793171882629,27105,0.631578947368421,0.5670498084291188,0.5862068965517241,0.5294654260171501,0.36363636363636365,0.3076923076923077,0.4444444444444444,0.6896551724137931,4,9,20,5
