experiment,feature_set,model,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,0.7,0.6004784688995215,0.8433014354066986,0.787960880161837,0.35714285714285715,0.8333333333333334,0.22727272727272727,0.9736842105263158,5,1,37,17,7
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,0.6833333333333333,0.5777511961722488,0.7858851674641149,0.7365176743602261,0.2962962962962963,0.8,0.18181818181818182,0.9736842105263158,4,1,37,18,8
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,0.7166666666666667,0.6136363636363636,0.7619617224880383,0.7021362018970896,0.37037037037037035,1.0,0.22727272727272727,1.0,5,0,38,17,9
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,0.6666666666666666,0.5550239234449761,0.7200956937799043,0.6224910903763735,0.23076923076923078,0.75,0.13636363636363635,0.9736842105263158,3,1,37,19,10
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,0.7049180327868853,0.5909090909090909,0.7074592074592075,0.6655684355899694,0.3076923076923077,1.0,0.18181818181818182,1.0,4,0,39,18,11
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,0.6666666666666666,0.5645933014354066,0.771531100478469,0.666858607718421,0.2857142857142857,0.6666666666666666,0.18181818181818182,0.9473684210526315,4,2,36,18,12
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,0.7,0.5909090909090909,0.7882775119617225,0.7265499469374774,0.3076923076923077,1.0,0.18181818181818182,1.0,4,0,38,18,13
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,0.7,0.6004784688995215,0.7476076555023923,0.6875281695911684,0.35714285714285715,0.8333333333333334,0.22727272727272727,0.9736842105263158,5,1,37,17,14
pca50_rbf_svm_t0_only,t0_only,pca50_rbf_svm,0.7,0.5909090909090909,0.8145933014354068,0.7709233645018185,0.3076923076923077,1.0,0.18181818181818182,1.0,4,0,38,18,15
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.7704918032786885,0.6917249417249417,0.7470862470862472,0.7210870377123018,0.5625,0.9,0.4090909090909091,0.9743589743589743,9,1,38,13,1
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.6333333333333333,0.5382775119617225,0.6435406698564593,0.5778758801346922,0.26666666666666666,0.5,0.18181818181818182,0.8947368421052632,4,4,34,18,2
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.7166666666666667,0.6423444976076556,0.7834928229665072,0.7197282159877068,0.48484848484848486,0.7272727272727273,0.36363636363636365,0.9210526315789473,8,3,35,14,3
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.6666666666666666,0.5645933014354066,0.7727272727272728,0.6732640419412638,0.2857142857142857,0.6666666666666666,0.18181818181818182,0.9473684210526315,4,2,36,18,4
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.7,0.6004784688995215,0.763157894736842,0.7161070548608988,0.35714285714285715,0.8333333333333334,0.22727272727272727,0.9736842105263158,5,1,37,17,5
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.6885245901639344,0.6078088578088578,0.7144522144522145,0.6257710422762904,0.42424242424242425,0.6363636363636364,0.3181818181818182,0.8974358974358975,7,4,35,15,6
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.65,0.5610047846889952,0.651913875598086,0.5483823772741143,0.3225806451612903,0.5555555555555556,0.22727272727272727,0.8947368421052632,5,4,34,17,7
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.6833333333333333,0.5873205741626794,0.6602870813397129,0.6079839616223566,0.3448275862068966,0.7142857142857143,0.22727272727272727,0.9473684210526315,5,2,36,17,8
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.7166666666666667,0.6327751196172249,0.7834928229665072,0.6982880199275111,0.45161290322580644,0.7777777777777778,0.3181818181818182,0.9473684210526315,7,2,36,15,9
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.7333333333333333,0.6555023923444976,0.7739234449760766,0.7570750588253472,0.5,0.8,0.36363636363636365,0.9473684210526315,8,2,36,14,10
pca10_rbf_svm_t1_only,t1_only,pca10_rbf_svm,0.6885245901639344,0.5979020979020979,0.6993006993006993,0.5513432713531526,0.3870967741935484,0.6666666666666666,0.2727272727272727,0.9230769230769231,6,3,36,16,11
