task,run_family,best_model_name,roc_auc_mean,pr_auc_mean,balanced_accuracy_mean,f1_mean,output_dir
task2,tabular,mlp_t1_only_wide,0.8254140596245859,0.7787955946568207,0.7526724737251054,0.6814333896062611,/Users/slawrence02/Documents/Documents/epiome/ml_engineer/results/task2/dl_optimised_mlp_t1_only_wide
task2,chromosome_cnn,chromosome_cnn_wide,0.6839733366049155,0.592179854227945,0.6230830572935836,0.534368768165723,/Users/slawrence02/Documents/Documents/epiome/ml_engineer/results/task2/dl_cnn_chromosome
