experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.631578947368421,0.5375,0.6,0.35593818873973154,0.3,0.25,0.375,0.7,3,9,21,5,1,6,0.9304172992706299,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.8421052631578947,0.625,0.8583333333333334,0.647295066045066,0.4,1.0,0.25,1.0,2,0,30,6,2,1,1.0565812587738037,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.631578947368421,0.6053639846743295,0.6666666666666666,0.5285714285714285,0.4166666666666667,0.3333333333333333,0.5555555555555556,0.6551724137931034,5,10,19,4,3,11,0.9216467142105103,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.7368421052631579,0.6360153256704981,0.7318007662835249,0.5650641221876502,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.8275862068965517,4,5,24,5,4,21,0.8535319566726685,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.23684210526315788,0.5,0.5708812260536399,0.4787727277290845,0.3829787234042553,0.23684210526315788,1.0,0.0,9,29,0,0,5,1,1.0819581747055054,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.868421052631579,0.8708333333333333,0.95,0.8783549783549783,0.7368421052631579,0.6363636363636364,0.875,0.8666666666666667,7,4,26,1,6,24,0.862982451915741,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.8421052631578947,0.7166666666666667,0.6708333333333333,0.607842906899602,0.5714285714285714,0.6666666666666666,0.5,0.9333333333333333,4,2,28,4,7,36,0.5524616837501526,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.47368421052631576,0.4252873563218391,0.42528735632183906,0.36000963925948803,0.23076923076923078,0.17647058823529413,0.3333333333333333,0.5172413793103449,3,14,15,6,8,11,0.9843864440917969,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.6842105263157895,0.6015325670498084,0.5862068965517241,0.5865174088959255,0.4,0.36363636363636365,0.4444444444444444,0.7586206896551724,4,7,22,5,9,9,0.9829447269439697,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.631578947368421,0.5287356321839081,0.5708812260536399,0.39521057847144797,0.3,0.2727272727272727,0.3333333333333333,0.7241379310344828,3,8,21,6,10,10,1.0273483991622925,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.5526315789473685,0.3958333333333333,0.37916666666666665,0.2849389752463709,0.10526315789473684,0.09090909090909091,0.125,0.6666666666666666,1,10,20,7,11,3,1.0560426712036133,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.7631578947368421,0.8041666666666667,0.8666666666666667,0.7449805941185251,0.6086956521739131,0.4666666666666667,0.875,0.7333333333333333,7,8,22,1,12,8,1.0082685947418213,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.8157894736842105,0.6877394636015326,0.6513409961685823,0.4539757567535345,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.9310344827586207,4,2,27,5,13,21,0.9464144110679626,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.8157894736842105,0.6111111111111112,0.6934865900383143,0.5482186918968528,0.36363636363636365,1.0,0.2222222222222222,1.0,2,0,29,7,14,1,1.082446575164795,97121
genome_cnn_t0_t1,t0_t1_genome_pair,genome_cnn,0.7368421052631579,0.7126436781609196,0.735632183908046,0.7027071541003429,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.7586206896551724,6,7,22,3,15,18,0.7829994559288025,97121
