experiment,feature_set,model,model_type,threshold_mode,k_best,pca_components,threshold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7894736842105263,0.5458333333333334,0.7416666666666667,0.527171484429549,0.2,0.5,0.125,0.9666666666666667,1,1,29,7,1
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.8157894736842105,0.5625,0.7291666666666667,0.4550401757657326,0.2222222222222222,1.0,0.125,1.0,1,0,30,7,2
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.8157894736842105,0.6111111111111112,0.8812260536398467,0.7455162121828789,0.36363636363636365,1.0,0.2222222222222222,1.0,2,0,29,7,3
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7894736842105263,0.5555555555555556,0.7011494252873562,0.48975537133431873,0.2,1.0,0.1111111111111111,1.0,1,0,29,8,4
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.8421052631578947,0.6666666666666666,0.846743295019157,0.714045214045214,0.5,1.0,0.3333333333333333,1.0,3,0,29,6,5
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7894736842105263,0.5458333333333334,0.6875,0.45115523182957395,0.2,0.5,0.125,0.9666666666666667,1,1,29,7,6
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7631578947368421,0.48333333333333334,0.7708333333333333,0.4289889021796916,0.0,0.0,0.0,0.9666666666666667,0,1,29,8,7
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7368421052631579,0.4827586206896552,0.6743295019157087,0.36216402260630143,0.0,0.0,0.0,0.9655172413793104,0,1,28,9,8
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7368421052631579,0.5210727969348659,0.7164750957854407,0.40866293655509345,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.9310344827586207,1,2,27,8,9
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7894736842105263,0.5555555555555556,0.5057471264367817,0.37935633961777754,0.2,1.0,0.1111111111111111,1.0,1,0,29,8,10
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7368421052631579,0.4666666666666667,0.7708333333333333,0.4679563492063492,0.0,0.0,0.0,0.9333333333333333,0,2,28,8,11
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.8157894736842105,0.5625,0.7458333333333333,0.49734799514211275,0.2222222222222222,1.0,0.125,1.0,1,0,30,7,12
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7894736842105263,0.5555555555555556,0.8007662835249041,0.6289915130494841,0.2,1.0,0.1111111111111111,1.0,1,0,29,8,13
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7631578947368421,0.5,0.7969348659003831,0.5135109262560243,0.0,0.0,0.0,1.0,0,0,29,9,14
xgboost_raw_t0_only,t0_only,xgboost,raw,default_0.5,,,0.5,0.7368421052631579,0.5210727969348659,0.6168582375478927,0.33850408850408853,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.9310344827586207,1,2,27,8,15
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.3,0.7368421052631579,0.6958333333333333,0.7416666666666667,0.527171484429549,0.5,0.4166666666666667,0.625,0.7666666666666667,5,7,23,3,1
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.3,0.6578947368421053,0.7375,0.7291666666666667,0.4550401757657326,0.5185185185185185,0.3684210526315789,0.875,0.6,7,12,18,1,2
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.3,0.868421052631579,0.8371647509578544,0.8812260536398467,0.7455162121828789,0.7368421052631579,0.7,0.7777777777777778,0.896551724137931,7,3,26,2,3
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.225,0.6578947368421053,0.7375478927203065,0.7011494252873562,0.48975537133431873,0.5517241379310345,0.4,0.8888888888888888,0.5862068965517241,8,12,17,1,4
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.275,0.7894736842105263,0.8237547892720306,0.846743295019157,0.714045214045214,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.7586206896551724,8,7,22,1,5
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.225,0.5789473684210527,0.6875,0.6875,0.45115523182957395,0.4666666666666667,0.3181818181818182,0.875,0.5,7,15,15,1,6
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.275,0.6578947368421053,0.7833333333333333,0.7708333333333333,0.4289889021796916,0.5517241379310345,0.38095238095238093,1.0,0.5666666666666667,8,13,17,0,7
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.275,0.7368421052631579,0.6743295019157088,0.6743295019157087,0.36216402260630143,0.5,0.45454545454545453,0.5555555555555556,0.7931034482758621,5,6,23,4,8
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.225,0.6578947368421053,0.7375478927203065,0.7164750957854407,0.40866293655509345,0.5517241379310345,0.4,0.8888888888888888,0.5862068965517241,8,12,17,1,9
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.05,0.2631578947368421,0.5172413793103449,0.5057471264367817,0.37935633961777754,0.391304347826087,0.24324324324324326,1.0,0.034482758620689655,9,28,1,0,10
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.3,0.8157894736842105,0.7916666666666667,0.7708333333333333,0.4679563492063492,0.631578947368421,0.5454545454545454,0.75,0.8333333333333334,6,5,25,2,11
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.3,0.6842105263157895,0.7541666666666667,0.7458333333333333,0.49734799514211275,0.5384615384615384,0.3888888888888889,0.875,0.6333333333333333,7,11,19,1,12
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.175,0.631578947368421,0.7586206896551724,0.8007662835249041,0.6289915130494841,0.5625,0.391304347826087,1.0,0.5172413793103449,9,14,15,0,13
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.3,0.8157894736842105,0.8026819923371648,0.7969348659003831,0.5135109262560243,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.8275862068965517,7,5,24,2,14
xgboost_raw_t0_only,t0_only,xgboost,raw,tuned_f1,,,0.275,0.5789473684210527,0.6475095785440613,0.6168582375478927,0.33850408850408853,0.4666666666666667,0.3333333333333333,0.7777777777777778,0.5172413793103449,7,14,15,2,15
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.7894736842105263,0.5916666666666667,0.6958333333333333,0.45606060606060606,0.3333333333333333,0.5,0.25,0.9333333333333333,2,2,28,6,1
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.8157894736842105,0.6083333333333334,0.7916666666666666,0.578392094017094,0.36363636363636365,0.6666666666666666,0.25,0.9666666666666667,2,1,29,6,2
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.8947368421052632,0.7777777777777778,0.8735632183908045,0.810144927536232,0.7142857142857143,1.0,0.5555555555555556,1.0,5,0,29,4,3
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.7894736842105263,0.5938697318007663,0.7701149425287356,0.6040564373897708,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.9655172413793104,2,1,28,7,4
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.6842105263157895,0.4482758620689655,0.6436781609195402,0.37380256196045675,0.0,0.0,0.0,0.896551724137931,0,3,26,9,5
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.868421052631579,0.6875,0.9083333333333332,0.7754734848484848,0.5454545454545454,1.0,0.375,1.0,3,0,30,5,6
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.8157894736842105,0.6083333333333334,0.7625000000000001,0.5106089086352243,0.36363636363636365,0.6666666666666666,0.25,0.9666666666666667,2,1,29,6,7
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.7368421052631579,0.5210727969348659,0.632183908045977,0.39670296013986717,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.9310344827586207,1,2,27,8,8
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.7368421052631579,0.5593869731800767,0.6743295019157087,0.4129304862041435,0.2857142857142857,0.4,0.2222222222222222,0.896551724137931,2,3,26,7,9
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.7631578947368421,0.5766283524904214,0.6091954022988505,0.3963516178428459,0.3076923076923077,0.5,0.2222222222222222,0.9310344827586207,2,2,27,7,10
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.7894736842105263,0.5,0.5499999999999999,0.2565064409822474,0.0,0.0,0.0,1.0,0,0,30,8,11
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.8157894736842105,0.6083333333333334,0.7916666666666667,0.5596180555555555,0.36363636363636365,0.6666666666666666,0.25,0.9666666666666667,2,1,29,6,12
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.868421052631579,0.7605363984674329,0.8199233716475096,0.734897999603882,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.9655172413793104,5,1,28,4,13
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.7368421052631579,0.5593869731800767,0.689655172413793,0.4733595443740371,0.2857142857142857,0.4,0.2222222222222222,0.896551724137931,2,3,26,7,14
xgboost_raw_t1_only,t1_only,xgboost,raw,default_0.5,,,0.5,0.7894736842105263,0.632183908045977,0.8582375478927203,0.646256038647343,0.42857142857142855,0.6,0.3333333333333333,0.9310344827586207,3,2,27,6,15
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.275,0.7105263157894737,0.6791666666666667,0.6958333333333333,0.45606060606060606,0.47619047619047616,0.38461538461538464,0.625,0.7333333333333333,5,8,22,3,1
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.4,0.7894736842105263,0.7291666666666667,0.7916666666666666,0.578392094017094,0.5555555555555556,0.5,0.625,0.8333333333333334,5,5,25,3,2
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.45,0.8947368421052632,0.8160919540229885,0.8735632183908045,0.810144927536232,0.75,0.8571428571428571,0.6666666666666666,0.9655172413793104,6,1,28,3,3
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.175,0.631578947368421,0.7203065134099617,0.7701149425287356,0.6040564373897708,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.5517241379310345,8,13,16,1,4
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.4,0.7631578947368421,0.6915708812260537,0.6436781609195402,0.37380256196045675,0.5263157894736842,0.5,0.5555555555555556,0.8275862068965517,5,5,24,4,5
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.275,0.8157894736842105,0.8833333333333333,0.9083333333333332,0.7754734848484848,0.6956521739130435,0.5333333333333333,1.0,0.7666666666666667,8,7,23,0,6
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.35,0.7894736842105263,0.775,0.7625000000000001,0.5106089086352243,0.6,0.5,0.75,0.8,6,6,24,2,7
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.25,0.6842105263157895,0.7164750957854407,0.632183908045977,0.39670296013986717,0.5384615384615384,0.4117647058823529,0.7777777777777778,0.6551724137931034,7,10,19,2,8
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.15,0.631578947368421,0.7203065134099617,0.6743295019157087,0.4129304862041435,0.5333333333333333,0.38095238095238093,0.8888888888888888,0.5517241379310345,8,13,16,1,9
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.275,0.6842105263157895,0.6398467432950192,0.6091954022988505,0.3963516178428459,0.45454545454545453,0.38461538461538464,0.5555555555555556,0.7241379310344828,5,8,21,4,10
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.275,0.6842105263157895,0.6166666666666667,0.5499999999999999,0.2565064409822474,0.4,0.3333333333333333,0.5,0.7333333333333333,4,8,22,4,11
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.2,0.7105263157894737,0.7708333333333333,0.7916666666666667,0.5596180555555555,0.56,0.4117647058823529,0.875,0.6666666666666666,7,10,20,1,12
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.5,0.868421052631579,0.7605363984674329,0.8199233716475096,0.734897999603882,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.9655172413793104,5,1,28,4,13
xgboost_raw_t1_only,t1_only,xgboost,raw,tuned_f1,,,0.225,0.5526315789473685,0.6685823754789272,0.689655172413793,0.4733595443740371,0.48484848484848486,0.3333333333333333,0.8888888888888888,0.4482758620689655,8,16,13,1,14
