experiment,feature_set,model,fold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn
sgd_modified_huber_t1_only,t1_only,sgd_modified_huber,12,0.7105263157894737,0.7708333333333333,0.7708333333333335,0.38660990712074306,0.56,0.4117647058823529,0.875,0.6666666666666666,7,10,20,1
sgd_modified_huber_t1_only,t1_only,sgd_modified_huber,13,0.8947368421052632,0.8544061302681992,0.8544061302681991,0.6575698505523067,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9310344827586207,7,2,27,2
sgd_modified_huber_t1_only,t1_only,sgd_modified_huber,14,0.7894736842105263,0.8237547892720306,0.8237547892720306,0.5003898635477583,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.7586206896551724,8,7,22,1
sgd_modified_huber_t1_only,t1_only,sgd_modified_huber,15,0.9736842105263158,0.9827586206896552,0.9827586206896552,0.9,0.9473684210526315,0.9,1.0,0.9655172413793104,9,1,28,0
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,1,0.9210526315789473,0.8583333333333334,0.85,0.8072233724407638,0.8,0.8571428571428571,0.75,0.9666666666666667,6,1,29,2
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,2,0.9473684210526315,0.9208333333333334,0.95,0.9120065789473684,0.875,0.875,0.875,0.9666666666666667,7,1,29,1
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,3,0.8421052631578947,0.7049808429118773,0.8314176245210727,0.7154086654086653,0.5714285714285714,0.8,0.4444444444444444,0.9655172413793104,4,1,28,5
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,4,0.868421052631579,0.7222222222222222,0.8888888888888888,0.8090867264780308,0.6153846153846154,1.0,0.4444444444444444,1.0,4,0,29,5
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,5,0.868421052631579,0.7988505747126436,0.89272030651341,0.808862433862434,0.7058823529411765,0.75,0.6666666666666666,0.9310344827586207,6,2,27,3
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,6,0.8157894736842105,0.8375,0.9208333333333333,0.7817982456140351,0.6666666666666666,0.5384615384615384,0.875,0.8,7,6,24,1
pca10_rbf_svm_t0_only,t0_only,pca10_rbf_svm,7,0.8421052631578947,0.7166666666666667,0.7541666666666667,0.5569696969696969,0.5714285714285714,0.6666666666666666,0.5,0.9333333333333333,4,2,28,4
