fold,selected_model,selected_model_type,selected_inner_selection_metric,best_epoch,best_val_loss,n_parameters,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn
1,mlp_t1_only_narrow,mlp,0.5936992066368358,4,0.5785248279571533,260289,0.8032786885245902,0.8065268065268065,0.8624708624708625,0.7851783385780514,0.75,0.6923076923076923,0.8181818181818182,0.7948717948717948,18,8,31,4
2,mlp_t1_only_narrow,mlp,0.6922214286319551,7,0.5926738381385803,260289,0.7166666666666667,0.6997607655502392,0.8074162679425838,0.7360328370347334,0.6222222222222222,0.6086956521739131,0.6363636363636364,0.7631578947368421,14,9,29,8
3,mlp_t1_only_narrow,mlp,0.4699050442783417,5,0.7497134804725647,260289,0.8666666666666667,0.8564593301435407,0.9198564593301436,0.8857479304228775,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8947368421052632,18,4,34,4
4,bottleneck_mlp_t1_only_narrow,bottleneck_mlp,0.6137519829230308,6,0.6931269764900208,129121,0.7666666666666667,0.7488038277511961,0.8157894736842105,0.8062885667931412,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.8157894736842105,15,7,31,7
5,mlp_t1_only_wide,mlp,0.5096029273608413,14,0.6176701188087463,528769,0.75,0.6782296650717703,0.7954545454545454,0.6983056491465531,0.5454545454545454,0.8181818181818182,0.4090909090909091,0.9473684210526315,9,2,36,13
6,mlp_t1_only_wide,mlp,0.7388830948042406,11,0.5824611186981201,528769,0.8360655737704918,0.8123543123543124,0.8554778554778554,0.8489154496294631,0.7619047619047619,0.8,0.7272727272727273,0.8974358974358975,16,4,35,6
7,mlp_t1_only_narrow,mlp,0.6965883382266246,4,0.6550994515419006,260289,0.7333333333333333,0.6842105263157895,0.7452153110047847,0.696285010654512,0.5789473684210527,0.6875,0.5,0.868421052631579,11,5,33,11
8,bottleneck_mlp_t1_only_wide,bottleneck_mlp,0.7099382889351691,17,0.6947206854820251,260289,0.75,0.7260765550239234,0.8133971291866029,0.7780860324193934,0.6511627906976745,0.6666666666666666,0.6363636363636364,0.8157894736842105,14,7,31,8
9,mlp_t1_only_wide,mlp,0.7148708297095947,21,0.3910890519618988,528769,0.8,0.7942583732057416,0.8744019138755981,0.8186524337570987,0.7391304347826086,0.7083333333333334,0.7727272727272727,0.8157894736842105,17,7,31,5
10,bottleneck_mlp_t1_only_narrow,bottleneck_mlp,0.6288487364991393,5,0.7021686434745789,129121,0.75,0.7547846889952152,0.7954545454545455,0.7683950076155677,0.6938775510204082,0.6296296296296297,0.7727272727272727,0.7368421052631579,17,10,28,5
11,mlp_t1_only_narrow,mlp,0.7225046593463462,5,0.6929392218589783,260289,0.7704918032786885,0.7214452214452214,0.796037296037296,0.7110139853173826,0.631578947368421,0.75,0.5454545454545454,0.8974358974358975,12,4,35,10
12,mlp_t1_only_narrow,mlp,0.6570150098856498,3,0.7180225253105164,260289,0.7166666666666667,0.6997607655502392,0.7966507177033493,0.7211779152464797,0.6222222222222222,0.6086956521739131,0.6363636363636364,0.7631578947368421,14,9,29,8
13,mlp_t1_only_narrow,mlp,0.525495282829601,8,0.5365955233573914,260289,0.8666666666666667,0.8755980861244019,0.9485645933014354,0.9198328596029481,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.8421052631578947,20,6,32,2
14,bottleneck_mlp_t1_only_narrow,bottleneck_mlp,0.6216039230685004,7,0.5256965756416321,129121,0.7,0.6961722488038278,0.7476076555023923,0.7381221743614479,0.625,0.5769230769230769,0.6818181818181818,0.7105263157894737,15,11,27,7
15,bottleneck_mlp_t1_only_narrow,bottleneck_mlp,0.494553302214088,5,0.6325958967208862,129121,0.75,0.7356459330143541,0.8074162679425837,0.7698997292726588,0.6666666666666666,0.6521739130434783,0.6818181818181818,0.7894736842105263,15,8,30,7
