experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
mlp_t1_only,t1_only,mlp,0.8421052631578947,0.8083333333333333,0.9125000000000001,0.782224025974026,0.6666666666666666,0.6,0.75,0.8666666666666667,6,4,26,2,1,6,0.6394188404083252,528769
mlp_t1_only,t1_only,mlp,0.8947368421052632,0.7958333333333334,0.9625,0.895021645021645,0.7142857142857143,0.8333333333333334,0.625,0.9666666666666667,5,1,29,3,2,111,0.23604902625083923,528769
mlp_t1_only,t1_only,mlp,0.8421052631578947,0.7816091954022988,0.9080459770114943,0.8089807852965749,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.896551724137931,6,3,26,3,3,3,0.8857253193855286,528769
mlp_t1_only,t1_only,mlp,0.868421052631579,0.7988505747126436,0.8812260536398467,0.8298059964726632,0.7058823529411765,0.75,0.6666666666666666,0.9310344827586207,6,2,27,3,4,4,0.7384337186813354,528769
mlp_t1_only,t1_only,mlp,0.7105263157894737,0.657088122605364,0.6973180076628352,0.5025515025515026,0.47619047619047616,0.4166666666666667,0.5555555555555556,0.7586206896551724,5,7,22,4,5,2,0.8803350329399109,528769
mlp_t1_only,t1_only,mlp,0.9736842105263158,0.9833333333333334,1.0,1.0,0.9411764705882353,0.8888888888888888,1.0,0.9666666666666667,8,1,29,0,6,25,0.43254390358924866,528769
mlp_t1_only,t1_only,mlp,0.868421052631579,0.7333333333333334,0.8291666666666666,0.6941293183940243,0.6153846153846154,0.8,0.5,0.9666666666666667,4,1,29,4,7,36,0.052423153072595596,528769
mlp_t1_only,t1_only,mlp,0.6052631578947368,0.5498084291187739,0.636015325670498,0.46374576146247976,0.34782608695652173,0.2857142857142857,0.4444444444444444,0.6551724137931034,4,10,19,5,8,2,0.9314117431640625,528769
mlp_t1_only,t1_only,mlp,0.631578947368421,0.6053639846743295,0.7279693486590038,0.5736399078504342,0.4166666666666667,0.3333333333333333,0.5555555555555556,0.6551724137931034,5,10,19,4,9,1,1.0486531257629395,528769
mlp_t1_only,t1_only,mlp,0.8421052631578947,0.7432950191570882,0.8160919540229885,0.7508731319038338,0.625,0.7142857142857143,0.5555555555555556,0.9310344827586207,5,2,27,4,10,28,0.1373405158519745,528769
mlp_t1_only,t1_only,mlp,0.8947368421052632,0.8416666666666667,0.8375,0.7225358422939068,0.75,0.75,0.75,0.9333333333333333,6,2,28,2,11,7,0.7778576016426086,528769
mlp_t1_only,t1_only,mlp,0.868421052631579,0.825,0.9166666666666667,0.818154761904762,0.7058823529411765,0.6666666666666666,0.75,0.9,6,3,27,2,12,12,0.6770464777946472,528769
mlp_t1_only,t1_only,mlp,0.8947368421052632,0.8160919540229885,0.9042145593869731,0.857804232804233,0.75,0.8571428571428571,0.6666666666666666,0.9655172413793104,6,1,28,3,13,19,0.7235422730445862,528769
mlp_t1_only,t1_only,mlp,0.9473684210526315,0.8888888888888888,0.9770114942528736,0.9479717813051147,0.875,1.0,0.7777777777777778,1.0,7,0,29,2,14,6,0.9289233088493347,528769
mlp_t1_only,t1_only,mlp,0.8947368421052632,0.7777777777777778,0.9693486590038314,0.9051066217732886,0.7142857142857143,1.0,0.5555555555555556,1.0,5,0,29,4,15,4,0.9936350584030151,528769
