experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.8360655737704918,0.8519813519813519,0.8787878787878788,0.7623174473054855,0.8,0.7142857142857143,0.9090909090909091,0.7948717948717948,20,8,31,2,1,10,0.6252137422561646,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.6666666666666666,0.6889952153110048,0.7177033492822967,0.6583469879205905,0.6296296296296297,0.53125,0.7727272727272727,0.6052631578947368,17,15,23,5,2,3,0.8104995489120483,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.6833333333333333,0.6925837320574163,0.7930622009569378,0.672192334072651,0.6274509803921569,0.5517241379310345,0.7272727272727273,0.6578947368421053,16,13,25,6,3,3,0.9329228401184082,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.6166666666666667,0.5633971291866029,0.55622009569378,0.53953595294001,0.41025641025641024,0.47058823529411764,0.36363636363636365,0.7631578947368421,8,9,29,14,4,2,0.8468959331512451,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7,0.6770334928229665,0.7619617224880383,0.716059006348073,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.7631578947368421,13,9,29,9,5,5,0.8492599725723267,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7049180327868853,0.6701631701631701,0.7342657342657343,0.645729013585316,0.5714285714285714,0.6,0.5454545454545454,0.7948717948717948,12,8,31,10,6,4,0.8250035047531128,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7333333333333333,0.7033492822966507,0.757177033492823,0.7320061393823307,0.6190476190476191,0.65,0.5909090909090909,0.8157894736842105,13,7,31,9,7,4,0.7555395364761353,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.75,0.7452153110047848,0.80622009569378,0.7238794360497556,0.6808510638297872,0.64,0.7272727272727273,0.7631578947368421,16,9,29,6,8,5,0.667114794254303,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.6166666666666667,0.5921052631578947,0.6770334928229664,0.528412749473341,0.4888888888888889,0.4782608695652174,0.5,0.6842105263157895,11,12,26,11,9,5,0.78212970495224,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7666666666666667,0.7392344497607655,0.8062200956937798,0.7656466965267668,0.6666666666666666,0.7,0.6363636363636364,0.8421052631578947,14,6,32,8,10,6,0.6925607919692993,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7377049180327869,0.6958041958041958,0.7529137529137528,0.6571299165001243,0.6,0.6666666666666666,0.5454545454545454,0.8461538461538461,12,6,33,10,11,5,0.6289212703704834,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7166666666666667,0.7284688995215312,0.7834928229665071,0.667550707570987,0.6666666666666666,0.5862068965517241,0.7727272727272727,0.6842105263157895,17,12,26,5,12,4,0.7344455718994141,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7666666666666667,0.7679425837320575,0.8708133971291866,0.8465435188144312,0.7083333333333334,0.6538461538461539,0.7727272727272727,0.7631578947368421,17,9,29,5,13,20,0.5442929863929749,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.65,0.6566985645933014,0.7284688995215312,0.6065497566418557,0.5882352941176471,0.5172413793103449,0.6818181818181818,0.631578947368421,15,14,24,7,14,4,0.6988551616668701,385121
bottleneck_mlp_t0_t1_delta,t0_t1_delta,bottleneck_mlp,0.7166666666666667,0.6901913875598087,0.7559808612440191,0.7228535133221257,0.6046511627906976,0.6190476190476191,0.5909090909090909,0.7894736842105263,13,8,30,9,15,5,0.8341414332389832,385121
