experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7894736842105263,0.6833333333333333,0.8083333333333333,0.6792483660130719,0.5,0.5,0.5,0.8666666666666667,4,4,26,4,1,13,0.8555215001106262,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.868421052631579,0.7791666666666667,0.9583333333333334,0.8720619658119658,0.6666666666666666,0.7142857142857143,0.625,0.9333333333333333,5,2,28,3,2,156,0.16129732131958008,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.8157894736842105,0.8026819923371648,0.9425287356321839,0.8790784832451499,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.8275862068965517,7,5,24,2,3,8,0.8411040306091309,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7894736842105263,0.7471264367816092,0.846743295019157,0.744975394975395,0.6,0.5454545454545454,0.6666666666666666,0.8275862068965517,6,5,24,3,4,9,0.7975749969482422,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.8421052631578947,0.8199233716475096,0.8544061302681992,0.7679476468950155,0.7,0.6363636363636364,0.7777777777777778,0.8620689655172413,7,4,25,2,5,10,0.8477205634117126,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.9736842105263158,0.9375,1.0,1.0,0.9333333333333333,1.0,0.875,1.0,7,0,30,1,6,62,0.42564305663108826,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.868421052631579,0.7791666666666667,0.9291666666666667,0.8159722222222222,0.6666666666666666,0.7142857142857143,0.625,0.9333333333333333,5,2,28,3,7,123,0.11474557965993881,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.6842105263157895,0.6398467432950192,0.632183908045977,0.5051213213482698,0.45454545454545453,0.38461538461538464,0.5555555555555556,0.7241379310344828,5,8,21,4,8,6,0.8575422167778015,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.631578947368421,0.6053639846743295,0.7471264367816092,0.5976661801374445,0.4166666666666667,0.3333333333333333,0.5555555555555556,0.6551724137931034,5,10,19,4,9,4,1.0125852823257446,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.8157894736842105,0.6877394636015326,0.7586206896551724,0.585072335072335,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.9310344827586207,4,2,27,5,10,29,0.5355077981948853,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.8157894736842105,0.7458333333333333,0.7833333333333333,0.5712371409952055,0.5882352941176471,0.5555555555555556,0.625,0.8666666666666667,5,4,26,3,11,12,0.8705390095710754,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.8157894736842105,0.8833333333333333,0.9500000000000001,0.8622835497835498,0.6956521739130435,0.5333333333333333,1.0,0.7666666666666667,8,7,23,0,12,11,0.6601529121398926,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.8157894736842105,0.7260536398467433,0.8390804597701149,0.7507765830346476,0.5882352941176471,0.625,0.5555555555555556,0.896551724137931,5,3,26,4,13,7,0.8651874661445618,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.9210526315789473,0.8716475095785441,0.900383141762452,0.8601851851851854,0.8235294117647058,0.875,0.7777777777777778,0.9655172413793104,7,1,28,2,14,11,0.889610767364502,260289
bottleneck_mlp_t1_only_narrow,t1_only,bottleneck_mlp,0.7894736842105263,0.8620689655172413,0.9655172413793104,0.9252525252525254,0.6923076923076923,0.5294117647058824,1.0,0.7241379310344828,9,8,21,0,15,6,0.9733606576919556,260289
