experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
mlp_t1_only_wide,t1_only,mlp,0.8360655737704918,0.8222610722610723,0.8717948717948717,0.8114745700416014,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.8717948717948718,17,5,34,5,1,8,0.5958109498023987,260289
mlp_t1_only_wide,t1_only,mlp,0.75,0.7452153110047848,0.8026315789473684,0.7268515444719804,0.6808510638297872,0.64,0.7272727272727273,0.7631578947368421,16,9,29,6,2,9,0.5809459090232849,260289
mlp_t1_only_wide,t1_only,mlp,0.8166666666666667,0.7787081339712918,0.8803827751196173,0.8475156265692732,0.717948717948718,0.8235294117647058,0.6363636363636364,0.9210526315789473,14,3,35,8,3,4,0.7832581996917725,260289
mlp_t1_only_wide,t1_only,mlp,0.7666666666666667,0.7583732057416268,0.8385167464114833,0.8295451967899776,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7894736842105263,16,8,30,6,4,5,0.6465193629264832,260289
mlp_t1_only_wide,t1_only,mlp,0.7,0.6196172248803827,0.784688995215311,0.7145764730312998,0.4375,0.7,0.3181818181818182,0.9210526315789473,7,3,35,15,5,4,0.7191954255104065,260289
mlp_t1_only_wide,t1_only,mlp,0.7213114754098361,0.7325174825174825,0.8438228438228439,0.798993695522719,0.6666666666666666,0.5862068965517241,0.7727272727272727,0.6923076923076923,17,12,27,5,6,8,0.5393376350402832,260289
mlp_t1_only_wide,t1_only,mlp,0.75,0.7356459330143541,0.8038277511961722,0.7381467701599934,0.6666666666666666,0.6521739130434783,0.6818181818181818,0.7894736842105263,15,8,30,7,7,8,0.6058723330497742,260289
mlp_t1_only_wide,t1_only,mlp,0.8166666666666667,0.7787081339712918,0.8373205741626795,0.833090229360844,0.717948717948718,0.8235294117647058,0.6363636363636364,0.9210526315789473,14,3,35,8,8,6,0.6096210479736328,260289
mlp_t1_only_wide,t1_only,mlp,0.8,0.7942583732057416,0.8744019138755982,0.8325165706270472,0.7391304347826086,0.7083333333333334,0.7727272727272727,0.8157894736842105,17,7,31,5,9,9,0.3749096095561981,260289
mlp_t1_only_wide,t1_only,mlp,0.75,0.7452153110047848,0.8409090909090909,0.8054961914255676,0.6808510638297872,0.64,0.7272727272727273,0.7631578947368421,16,9,29,6,10,5,0.721832275390625,260289
mlp_t1_only_wide,t1_only,mlp,0.8360655737704918,0.8123543123543124,0.7878787878787878,0.7048439566779813,0.7619047619047619,0.8,0.7272727272727273,0.8974358974358975,16,4,35,6,11,6,0.6557286977767944,260289
mlp_t1_only_wide,t1_only,mlp,0.7333333333333333,0.7320574162679425,0.8110047846889952,0.734891772641183,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.7368421052631579,16,10,28,6,12,4,0.6812084317207336,260289
mlp_t1_only_wide,t1_only,mlp,0.8666666666666667,0.8851674641148326,0.9449760765550239,0.9165475788505622,0.84,0.75,0.9545454545454546,0.8157894736842105,21,7,31,1,13,6,0.6444405317306519,260289
mlp_t1_only_wide,t1_only,mlp,0.75,0.7356459330143541,0.7822966507177034,0.7529651657201444,0.6666666666666666,0.6521739130434783,0.6818181818181818,0.7894736842105263,15,8,30,7,14,7,0.5565840005874634,260289
mlp_t1_only_wide,t1_only,mlp,0.7666666666666667,0.7583732057416268,0.861244019138756,0.8072968880072773,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7894736842105263,16,8,30,6,15,5,0.5839594006538391,260289
