experiment,input_key,model_type,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold,best_epoch,best_val_loss,n_parameters
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.7368421052631579,0.6041666666666667,0.6541666666666667,0.4998915626856803,0.375,0.375,0.375,0.8333333333333334,3,5,25,5,1,2,1.0555955171585083,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.868421052631579,0.8708333333333333,0.9166666666666667,0.8028769841269842,0.7368421052631579,0.6363636363636364,0.875,0.8666666666666667,7,4,26,1,2,17,0.1792847365140915,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.8947368421052632,0.89272030651341,0.9540229885057471,0.9192982456140353,0.8,0.7272727272727273,0.8888888888888888,0.896551724137931,8,3,26,1,3,5,0.7761723399162292,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.8947368421052632,0.8544061302681992,0.8697318007662834,0.8199294532627865,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9310344827586207,7,2,27,2,4,30,0.5929959416389465,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.7105263157894737,0.6954022988505747,0.7088122605363985,0.5140097264378873,0.5217391304347826,0.42857142857142855,0.6666666666666666,0.7241379310344828,6,8,21,3,5,4,1.0187777280807495,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.9210526315789473,0.9041666666666667,0.9583333333333334,0.9305555555555556,0.8235294117647058,0.7777777777777778,0.875,0.9333333333333333,7,2,28,1,6,25,0.6788297295570374,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.8947368421052632,0.8416666666666667,0.8791666666666667,0.8082808924485125,0.75,0.75,0.75,0.9333333333333333,6,2,28,2,7,18,0.6557506322860718,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.7368421052631579,0.6360153256704981,0.6398467432950191,0.49494001938446386,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.8275862068965517,4,5,24,5,8,5,0.8471202254295349,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.7894736842105263,0.5938697318007663,0.6245210727969348,0.5413837690877539,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.9655172413793104,2,1,28,7,9,1,1.0810203552246094,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.23684210526315788,0.42337164750957856,0.2796934865900383,0.17888713133811174,0.32558139534883723,0.20588235294117646,0.7777777777777778,0.06896551724137931,7,27,2,2,10,1,1.078768253326416,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.631578947368421,0.5833333333333333,0.5166666666666666,0.2265185005626182,0.36363636363636365,0.2857142857142857,0.5,0.6666666666666666,4,10,20,4,11,4,0.9930320978164673,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.8157894736842105,0.7916666666666667,0.8958333333333333,0.7634636809269162,0.631578947368421,0.5454545454545454,0.75,0.8333333333333334,6,5,25,2,12,5,0.8072289228439331,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.6578947368421053,0.5459770114942528,0.7203065134099617,0.5370315271244064,0.3157894736842105,0.3,0.3333333333333333,0.7586206896551724,3,7,22,6,13,4,1.030399203300476,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.8157894736842105,0.764367816091954,0.7969348659003831,0.6396414887794197,0.631578947368421,0.6,0.6666666666666666,0.8620689655172413,6,4,25,3,14,4,0.9118594527244568,133329
siamese_mlp_t0_t1_small,t0_t1_pair,siamese_mlp,0.868421052631579,0.7988505747126436,0.9348659003831419,0.8380070546737215,0.7058823529411765,0.75,0.6666666666666666,0.9310344827586207,6,2,27,3,15,4,0.9656468033790588,133329
